area,tipo,nome,link,responsavel,ativo,,,
Planejamento,Power BI,Daily Inventory,https://app.powerbi.com/groups/me/reports/db2a7818-47f7-4ff7-ab07-9de952e1297a/ReportSection?experience=power-bi,todos,Sim,,,
Planejamento,Power BI,Parâmetros do MRP,https://app.powerbi.com/groups/me/reports/1b6d71b9-a846-423d-96ee-e3d26b52ed57/ReportSectionce3dbb95bed04db3773a?experience=power-bi,todos,Sim,,,
Planejamento,Power BI,Nivelamento de Produção,https://app.powerbi.com/groups/me/reports/734afeb9-834e-46b7-ab7f-5c3818e7a4b0/aa075c10230aa33e67ac?experience=power-bi,todos,Sim,,,
Planejamento,Power BI,Análise do eCapacity e eProcurement,https://app.powerbi.com/groups/me/reports/d45d14bb-abce-41dd-90a0-aece984cd8c1/f4b688d88bc3d40a1c49?experience=power-bi,todos,Sim,,,
Planejamento,Sistema,ePFEP,http://epfep/Error,todos,Sim,,,
Planejamento,Sistema,eCapacity e eProcurement,https://parkercorp.sharepoint.com/sites/eCapacityandeProcurement?or=EXCEL-WEB.BODY.NT&ct=1780947054394,todos,Sim,,,
Logística,Power BI,Transportes,https://app.powerbi.com/groups/me/reports/fc01781f-4272-401e-9b7b-88a80811e6ef/bdc96c1b3ee4b04bd00b?ctid=b5da5f35-6442-4f5a-9622-92ec6a535127&openReportSource=ReportInvitation&experience=power-bi&clientSideAuth=0,todos,Sim,,,
Logística,Power BI,Frete especial,https://app.powerbi.com/groups/me/reports/dcabf78d-d257-4437-901c-95cedeb7497c/ReportSection9c70a393998c26da0040?ctid=b5da5f35-6442-4f5a-9622-92ec6a535127&experience=power-bi,todos,Sim,,,
Logística,Sistema,Janela de Transportadora,https://apps.powerapps.com/play/e/38a53499-baf7-4ba7-b372-ca33d0714a95/a/1f55147e-769d-4fc9-907b-684999c1819b?tenantId=b5da5f35-6442-4f5a-9622-92ec6a535127&source=AppSharedV3&hint=1f0047f9-28f7-46b1-af3d-cb8a9466f94b&sourcetime=1729172192822,todos,Sim,,,
Logística,Power BI,Lead time de transporte,https://app.powerbi.com/groups/me/reports/90388252-00d8-44d8-a3fe-9f203812a6f1/10c5696745a86cdd9a5b?ctid=b5da5f35-6442-4f5a-9622-92ec6a535127&experience=power-bi,todos,Sim,,,
Logística,Sistema,Romaneio eletrônico,https://romaneiodigital-lag-app/,todos,Sim,,,
